00001Alice Johnson       HR        202401010050000005550000001user1@example.com        CA0000000Y
00002Bob 🙂 Smith        IT        202401020051000005550000002user2@example.com        NY0000100N
00003李雷                  OPS       202401030052000005550000003user3@example.com        TX0000200Y
00004محمد                FIN       202401040053000005550000004user4@example.com        FL0000300N
00005He said "Hello"     LEGAL     202401050054000005550000005user5@example.com        WA0000400Y
00006Smith, Jr. A.       SALES     202401060055000005550000006user6@example.com        IL0000500N
00007This Name Is DefinitMKT       202401070056000005550000007user7@example.com        MA0000600Y
00008Carol White         DEPARTMENT202401080057000005550000008user8@example.com        NJ0000700N
00010Eve Black           IT        202401100058000125550000010user10@example.com       NY0000900N
00011Frank Green         OPS       202401110059000000001234567user11@example.com       TX0001000Y
00012Grace Kim           FIN       202401120060000005550000012this_email_address_is_wayFL0001100N
